"dataset_name","id","author_id","conversation_id","text","source","retweet_count","reply_count","like_count","quote_count","in_reply_to_user_id"
"account - Alex__Lachance","823370658520371202","2258234934","823370658520371202","Want to see @OMGitsfirefoxx in a selfie with a #ShortyAwards trophy? Vote now! https://t.co/zA832VLgdU","Twitter Web Client","1","0","0","0",""
"account - Alex__Lachance","823257636002996232","2258234934","823257636002996232","@EL https://t.co/bcJb9pbTTH Your ""day 1"" and your ""Grand Finals"" page show the same thing.","Twitter Web Client","0","0","0","0","4016591151"
"account - Alex__Lachance","822911936677478400","2258234934","822911936677478400","I vote team @MAINGEAR for #RigChallengeSweepstakes. https://t.co/HzhLwL1HtF","Twitter Web Client","1","0","0","0",""
"account - Alex__Lachance","822584958388727810","2258234934","822584958388727810","I vote @AVADirect for the https://t.co/MlWuesEDmY #RigChallengeSweepstakes #giveaway","Twitter Web Client","1","0","1","0",""
"account - Alex__Lachance","821177023771111424","2258234934","821177023771111424","@bawiedrich https://t.co/TDoikayODN","Twitter Web Client","0","0","0","0","467170949"
"account - Alex__Lachance","812528868619939840","2258234934","812528868619939840","RT @Titanfallgame: 3 @NVIDIAGeForce GTX 1080 graphic cards.
#12DaysOfTitanfall
Follow and RT for a chance to win one. https://t.co/b4Qmq4VA…","Twitter for iPhone","9428","0","0","0",""
"account - Alex__Lachance","806669886130896901","2258234934","806666389352304640","@tinoivezaj Thats not really what I am looking for. I want to transfer the Xbox account in another microsoft account since its my fathers.","Twitter Web Client","0","0","0","0","47015753"
"account - Alex__Lachance","806666389352304640","2258234934","806666389352304640","@XboxSupport Is there anyway to transfer an Xbox live account to another microsoft account?","Twitter Web Client","0","1","0","0","59804598"
"account - Alex__Lachance","798582189273260032","2258234934","798582189273260032","RT @Halo: Fifteen years ago today, Combat Evolved. Happy 15th Anniversary, Halo! #15YearsOfHalo #15YearsofXbox https://t.co/LdZ6PdC3ls","Twitter for iPhone","4723","0","0","0",""
"account - Alex__Lachance","792772631170875392","2258234934","792772631170875392","Catch amazing #CSGO with the #ESLProLeague Finals &amp; win some great prizes! https://t.co/GnJTPHerhp","Twitter Web Client","0","0","1","0",""
"account - Alex__Lachance","782294896908664832","2258234934","782294896908664832","RT @MythBusters: Words from the wise @donttrythis. https://t.co/LNKJAB4pBQ","Twitter Web Client","591","0","0","0",""
"account - Alex__Lachance","782019421938343937","2258234934","781982456039612416","@ESLCS @Alienware still overpriced asf xD","Twitter Web Client","0","0","0","0","34002876"
"account - Alex__Lachance","781976861039525888","2258234934","781976861039525888","RT @Xbox: RT for a chance to win all 4 #XboxOneS consoles. #Battlefield 1 #Titanfall2 #XboxSweepstakes: https://t.co/ka1VzTnCfE https://t.c…","Twitter Web Client","14510","0","0","0",""
"account - Alex__Lachance","779084293607948288","2258234934","779084293607948288","RT @luckySkillFaker: Original Winner hasn't responded so here we go again!

Retweet and follow to enter! https://t.co/KZOw2Cqt6C","Twitter Web Client","402","0","0","0",""
"account - Alex__Lachance","778571118861049856","2258234934","778571118861049856","I voted for Guardian! #eslone #awpvote #v1Guardian https://t.co/J0IZbfOKHK","Twitter Web Client","0","0","1","0",""
"account - Alex__Lachance","774724086664658944","2258234934","774724086664658944","RT @YouTubeGaming: *warms up voice*
*drinks tea w/ lemon*
*dies ASAP*

@Battlefield voice control, @Slimecicle→ https://t.co/NUjuZYYuNB htt…","Twitter for iPad","41","0","0","0",""
"account - Alex__Lachance","772542281345884161","2258234934","772542281345884161","@XboxSupport I am playing a xb360 game on my xb1 but when I join a xb360 party I cant hear or talk (using the xb1 headset) Xb1 partys work","Twitter Web Client","0","1","0","0","59804598"
"account - Alex__Lachance","772520223383617536","2258234934","772520223383617536","@Battlefield Can we get the older conquest system and longer games? #DontChangeWhatIsAlreadyGood","Twitter Web Client","0","0","0","0","27855118"
"account - Alex__Lachance","771519267523141632","2258234934","771519267523141632","@YouTube @YouTubeGaming FIX YOUR SHIT...","Twitter Web Client","0","0","0","0","10228272"
"account - Alex__Lachance","771150506886631424","2258234934","771150506886631424","@Battlefield It takes like 30 seconds to bring up and close the menu when playing on @Xbox really needs fixing.","Twitter Web Client","0","0","0","0","27855118"
"account - Alex__Lachance","770746094968008705","2258234934","770746094968008705","RT @CaptainSparklez: WOKE UP TO 2 MILLION FOLLOWERS WHOAAAAAAA MANNNNNNN

but really i need more please inflate my ego it's how i survive.","Twitter Web Client","281","0","0","0",""
"account - Alex__Lachance","770745881041731588","2258234934","770745881041731588","@Battlefield @XboxSupport This is just stupid... I got a code for PC when I clearly stated I wanted one for @Xbox.","Twitter Web Client","0","2","0","0","27855118"
"account - Alex__Lachance","764929190462357504","2258234934","764929190462357504","https://t.co/GdlxSQl0bE @jackfrags says help me in his video xD @JohnScarce","Twitter Web Client","0","0","18","0",""
"account - Alex__Lachance","763912375653236736","2258234934","763819848140857344","@CaptainSparklez https://t.co/XeADJ0RnvS in french though","Twitter Web Client","0","0","1","0","153918448"
"account - Alex__Lachance","763912113110847489","2258234934","763819214423531520","@CaptainSparklez https://t.co/XeADJ0RnvS you need to learn french xD but its free","Twitter Web Client","0","0","2","0","153918448"
"account - Alex__Lachance","763192715836293121","2258234934","763192715836293121","@FSU_ATL https://t.co/MDsMbwLcXF They are now in need of ipads to take over the world.","Twitter Web Client","0","0","0","0","1598426965"
"account - Alex__Lachance","757200903044759552","2258234934","757064519008948224","@aureylian @IIJERiiCHOII","Twitter for iPad","0","0","0","0","206263351"
"account - Alex__Lachance","753752175067729920","2258234934","753752175067729920","RT @TACOCS: our new gaming house is getting ready in few day, no more ""BOOMm"" on the wall https://t.co/S6V3ujP7g3","Twitter Web Client","375","0","0","0",""
"account - Alex__Lachance","753298594736791552","2258234934","753285298495381504","@nickbunyun @PhillyD @fousytube DramaAlert and @JohnScarce said it was fake before them so even though I dont like @KEEMSTAR they were right","Twitter Web Client","0","0","0","0","298921215"
"account - Alex__Lachance","752645002585575424","2258234934","752645002585575424","@JohnScarce @AlexRamiGaming He is saying the truth. https://t.co/q26IV9JhTG","Twitter Web Client","0","0","0","0","477312189"
"account - Alex__Lachance","752364513241030656","2258234934","752364513241030656","@travisk https://t.co/O8TH9eqP8J Please help him.","Twitter Web Client","0","0","0","0","9729502"
"account - Alex__Lachance","751874322214580224","2258234934","751870679323140097","@Sahand300 @nV_NBK The twitch chat dosent understand and are rioting for a replay xD","Twitter Web Client","0","0","0","0","751534336227176448"
"account - Alex__Lachance","750446874830761984","2258234934","750446874830761984","RT @CaptainSparklez: Holy fireworks batman https://t.co/ZXUTm7IrIZ","Twitter Web Client","359","0","0","0",""
"account - Alex__Lachance","746572558540095488","2258234934","746572558540095488","RT @CSGOLotto: NEW GIVEAWAY!

5x Marble Fade Knives = 5x Winners

RT + Follow, more entries https://t.co/efyLxjn4OV

GLHF! https://t.co/mAt…","Twitter for iPad","13957","0","0","0",""
